tag;avail;rus;eng;|
Menu.Start;;Новая игра;New Game;|
Menu.Library;;Архив;Archive;|
Menu.Settings;;Настройки;Settings;|
Menu.Quit;;Выход;Quit;|
UI.Interact;;Взаимодействовать;To interact;|
UI.NoPower;;Нет энергии;No power;|
UI.Red;;Требуется КРАСНАЯ карта;A RED card is required;|
UI.Green;;Требуется ЗЕЛЕНАЯ карта;A GREEN card is required;|
UI.Blue;;Требуется СИНЯЯ карта;A BLUEcard is required;|
UI.Request;;Отсутствует необходимый объект;A object is required;|
Menu.Back;;Назад;Back;|
Menu.Language;;Язык;Language;|
Menu.Volume;;Громкость;Volume;|
Menu.ChangeLanguage;;Русский;English;|
Menu.No;;Нет;No;|
Menu.Yes;;Да;Yes;|
Menu.Sensitivity;;Чувствительность мыши;Mouse sensitivity;|
Menu.PlayAudio;;Проиграть запись;Play the recording;|
Menu.PressAnyKey;;Нажмите любую кнопку;Press any key;|
Menu.Resume;;Продолжить;Resume;|
Menu.Restart;;Заново;Restart;|
Menu.MainMenu;;Главное меню;Main menu;|
UI.AlreadyActive;;Уже активно;Already active;|
RoomName.Gen;;ГЕНЕРАТОР;GENERATOR;|
RoomName.Pow;;ЭНЕРГОСИСТЕМЫ;POWER SYSTEMS;|
RoomName.Sec;;ОХРАНА;SECURITY;|
RoomName.Lab;;ЛАБОРАТОРИЯ;LABORATORY;|
RoomName.Med;;МЕДКОМНАТА;MEDICAL;|
RoomName.Rest;;КОМНАТА ОТДЫХА;RECREATION;|
RoomName.Serv;;СЕРВЕРНАЯ;SERVERS;|
RoomName.Can;;СТОЛОВАЯ;CANTRRN;|
RoomName.Ware;;СКЛАД;WAREHOUSE;|
UI.Escape;;Вы сбежали!;You Escape!;|
UI.NoEscape;;Вас поймали!;You're Сaught;|
;;;;|
